Date,mcd,MSFT
2022-06-07 00:00:00-04:00,247.58477783203125,271.1586608886719
2022-06-08 00:00:00-04:00,244.2729034423828,269.0789489746094
2022-06-09 00:00:00-04:00,240.84169006347656,263.4866027832031
2022-06-10 00:00:00-04:00,236.08770751953125,251.74468994140625
2022-06-13 00:00:00-04:00,237.17176818847656,241.06748962402344
2022-06-14 00:00:00-04:00,237.46018981933594,243.28652954101562
2022-06-15 00:00:00-04:00,237.59942626953125,250.52073669433594
2022-06-16 00:00:00-04:00,233.90963745117188,243.76416015625
2022-06-17 00:00:00-04:00,233.1040496826172,246.4309539794922
2022-06-21 00:00:00-04:00,238.28567504882812,252.49099731445312
2022-06-22 00:00:00-04:00,241.73678588867188,251.8839874267578
2022-06-23 00:00:00-04:00,242.2539520263672,257.58575439453125
2022-06-24 00:00:00-04:00,246.55043029785156,266.3822937011719
2022-06-27 00:00:00-04:00,245.68516540527344,263.58612060546875
2022-06-28 00:00:00-04:00,241.50804138183594,255.21751403808594
2022-06-29 00:00:00-04:00,246.3913116455078,258.9788818359375
2022-06-30 00:00:00-04:00,245.53599548339844,255.5657501220703
2022-07-01 00:00:00-04:00,251.58290100097656,258.30224609375
2022-07-05 00:00:00-04:00,250.91653442382812,261.55615234375
2022-07-06 00:00:00-04:00,250.091064453125,264.89959716796875
2022-07-07 00:00:00-04:00,251.56300354003906,267.07879638671875
2022-07-08 00:00:00-04:00,251.8613739013672,266.34246826171875
2022-07-11 00:00:00-04:00,251.90113830566406,263.2079772949219
2022-07-12 00:00:00-04:00,250.11094665527344,252.42132568359375
2022-07-13 00:00:00-04:00,251.29446411132812,251.47601318359375
2022-07-14 00:00:00-04:00,251.224853515625,252.82933044433594
2022-07-15 00:00:00-04:00,253.62171936035156,255.45632934570312
2022-07-18 00:00:00-04:00,251.0458221435547,252.99847412109375
2022-07-19 00:00:00-04:00,255.10362243652344,258.25250244140625
2022-07-20 00:00:00-04:00,253.19407653808594,260.97900390625
2022-07-21 00:00:00-04:00,252.09011840820312,263.5363464355469
2022-07-22 00:00:00-04:00,252.60728454589844,259.078369140625
2022-07-25 00:00:00-04:00,249.01693725585938,257.5559387207031
2022-07-26 00:00:00-04:00,255.69039916992188,250.6600341796875
2022-07-27 00:00:00-04:00,257.4806213378906,267.4171447753906
2022-07-28 00:00:00-04:00,262.0257263183594,275.04937744140625
2022-07-29 00:00:00-04:00,261.93621826171875,279.35809326171875
2022-08-01 00:00:00-04:00,262.7915344238281,276.6415100097656
2022-08-02 00:00:00-04:00,259.62884521484375,273.4672546386719
2022-08-03 00:00:00-04:00,260.6631774902344,281.07958984375
2022-08-04 00:00:00-04:00,259.2210998535156,282.2537536621094
2022-08-05 00:00:00-04:00,257.8187561035156,281.51739501953125
2022-08-08 00:00:00-04:00,255.4019775390625,278.9401550292969
2022-08-09 00:00:00-04:00,258.64422607421875,280.910400390625
2022-08-10 00:00:00-04:00,259.9371337890625,287.73663330078125
2022-08-11 00:00:00-04:00,257.86846923828125,285.6071472167969
2022-08-12 00:00:00-04:00,260.752685546875,290.4731140136719
2022-08-15 00:00:00-04:00,263.9949645996094,292.0254211425781
2022-08-16 00:00:00-04:00,264.84033203125,291.2691650390625
2022-08-17 00:00:00-04:00,265.367431640625,290.5013427734375
2022-08-18 00:00:00-04:00,265.12872314453125,289.35455322265625
2022-08-19 00:00:00-04:00,265.0889587402344,285.3458557128906
2022-08-22 00:00:00-04:00,261.5185241699219,276.9694519042969
2022-08-23 00:00:00-04:00,259.12164306640625,275.66314697265625
2022-08-24 00:00:00-04:00,259.43988037109375,275.0149841308594
2022-08-25 00:00:00-04:00,261.130615234375,278.0663757324219
2022-08-26 00:00:00-04:00,255.55117797851562,267.33660888671875
2022-08-29 00:00:00-04:00,254.2681884765625,264.4846496582031
2022-08-30 00:00:00-04:00,252.11001586914062,262.2309875488281
2022-08-31 00:00:00-04:00,252.27999877929688,260.7351989746094
2022-09-01 00:00:00-04:00,256.4700012207031,259.668212890625
2022-09-02 00:00:00-04:00,254.50999450683594,255.3404083251953
2022-09-06 00:00:00-04:00,254.38999938964844,252.53829956054688
2022-09-07 00:00:00-04:00,258.4200134277344,257.3647155761719
2022-09-08 00:00:00-04:00,260.0799865722656,257.7934875488281
2022-09-09 00:00:00-04:00,259.5199890136719,263.716796875
2022-09-12 00:00:00-04:00,260.3699951171875,265.900634765625
2022-09-13 00:00:00-04:00,254.3300018310547,251.2818603515625
2022-09-14 00:00:00-04:00,255.72000122070312,251.51119995117188
2022-09-15 00:00:00-04:00,253.47000122070312,244.6904296875
2022-09-16 00:00:00-04:00,254.91000366210938,244.05223083496094
2022-09-19 00:00:00-04:00,257.010009765625,243.8328399658203
2022-09-20 00:00:00-04:00,255.39999389648438,241.76866149902344
2022-09-21 00:00:00-04:00,251.0800018310547,238.2784881591797
2022-09-22 00:00:00-04:00,247.94000244140625,240.3027801513672
2022-09-23 00:00:00-04:00,245.9499969482422,237.2513885498047
2022-09-26 00:00:00-04:00,243.75999450683594,236.78269958496094
2022-09-27 00:00:00-04:00,236.6999969482422,235.74563598632812
2022-09-28 00:00:00-04:00,236.94000244140625,240.39254760742188
2022-09-29 00:00:00-04:00,234.39999389648438,236.8325653076172
2022-09-30 00:00:00-04:00,230.74000549316406,232.2454833984375
2022-10-03 00:00:00-04:00,235.33999633789062,240.06346130371094
2022-10-04 00:00:00-04:00,238.5,248.1805877685547
2022-10-05 00:00:00-04:00,239.08999633789062,248.4996795654297
2022-10-06 00:00:00-04:00,234.75,246.09645080566406
2022-10-07 00:00:00-04:00,233.19000244140625,233.5817413330078
2022-10-10 00:00:00-04:00,234.9499969482422,228.6057586669922
2022-10-11 00:00:00-04:00,237.0500030517578,224.77655029296875
2022-10-12 00:00:00-04:00,237.05999755859375,225.11558532714844
2022-10-13 00:00:00-04:00,246.75,233.5817413330078
2022-10-14 00:00:00-04:00,243.16000366210938,227.91769409179688
2022-10-17 00:00:00-04:00,246.47999572753906,236.86248779296875
2022-10-18 00:00:00-04:00,249.19000244140625,237.8297576904297
2022-10-19 00:00:00-04:00,250.75,235.8154296875
2022-10-20 00:00:00-04:00,249.77000427246094,235.48635864257812
2022-10-21 00:00:00-04:00,254.5500030517578,241.4395751953125
2022-10-24 00:00:00-04:00,255.32000732421875,246.55517578125
2022-10-25 00:00:00-04:00,255.72999572753906,249.95558166503906
2022-10-26 00:00:00-04:00,256.6099853515625,230.66993713378906
2022-10-27 00:00:00-04:00,265.1099853515625,226.11277770996094
2022-10-28 00:00:00-04:00,274.5199890136719,235.20713806152344
2022-10-31 00:00:00-04:00,272.6600036621094,231.4776611328125
2022-11-01 00:00:00-04:00,272.95001220703125,227.52879333496094
2022-11-02 00:00:00-04:00,270.3699951171875,219.48147583007812
2022-11-03 00:00:00-04:00,272.95001220703125,213.6479034423828
2022-11-04 00:00:00-04:00,274.6199951171875,220.76783752441406
2022-11-07 00:00:00-05:00,276.4100036621094,227.22962951660156
2022-11-08 00:00:00-05:00,278.3999938964844,228.22682189941406
2022-11-09 00:00:00-05:00,277.7900085449219,223.8790740966797
2022-11-10 00:00:00-05:00,275.8800048828125,242.2971649169922
2022-11-11 00:00:00-05:00,271.3900146484375,246.41555786132812
2022-11-14 00:00:00-05:00,272.2699890136719,240.87118530273438
2022-11-15 00:00:00-05:00,267.8399963378906,241.29000854492188
2022-11-16 00:00:00-05:00,272.510009765625,241.72999572753906
2022-11-17 00:00:00-05:00,273.3599853515625,241.67999267578125
2022-11-18 00:00:00-05:00,273.3699951171875,241.22000122070312
2022-11-21 00:00:00-05:00,274.5199890136719,242.0500030517578
2022-11-22 00:00:00-05:00,274.760009765625,245.02999877929688
2022-11-23 00:00:00-05:00,273.2699890136719,247.5800018310547
2022-11-25 00:00:00-05:00,275.0,247.49000549316406
2022-11-28 00:00:00-05:00,272.8800048828125,241.75999450683594
2022-11-29 00:00:00-05:00,271.4100036621094,240.3300018310547
2022-11-30 00:00:00-05:00,272.2850036621094,251.74000549316406
